,0
0,"{'net_indi': 'scale_0', 'max_psnr': 30.078014373779297, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.256080627441406, 'max_step': 716, 'max_psnr_avg': 30.178363800048828, 'max_avg_step': 835, 'final_ep': 1019, 'final_psnr': 28.5281982421875, 'final_psnr_avg': 30.061857223510742, 'consume_time': 265.67720675468445}"
1,"{'net_indi': 'scale_1', 'max_psnr': 30.173320770263672, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.408937454223633, 'max_step': 602, 'max_psnr_avg': 30.335704803466797, 'max_avg_step': 691, 'final_ep': 879, 'final_psnr': 28.480621337890625, 'final_psnr_avg': 30.100154876708984, 'consume_time': 228.61435532569885}"
2,"{'net_indi': 'scale_2', 'max_psnr': 30.06036949157715, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.270862579345703, 'max_step': 567, 'max_psnr_avg': 30.062532424926758, 'max_avg_step': 748, 'final_ep': 975, 'final_psnr': 28.39313507080078, 'final_psnr_avg': 29.877777099609375, 'consume_time': 256.23874497413635}"
3,"{'net_indi': 'scale_3', 'max_psnr': 30.16937255859375, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.404953002929688, 'max_step': 532, 'max_psnr_avg': 30.329212188720703, 'max_avg_step': 637, 'final_ep': 823, 'final_psnr': 28.049884796142578, 'final_psnr_avg': 30.175853729248047, 'consume_time': 214.17596077919006}"
4,"{'net_indi': 'scale_4', 'max_psnr': 30.130083084106445, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.385150909423828, 'max_step': 543, 'max_psnr_avg': 30.154823303222656, 'max_avg_step': 803, 'final_ep': 994, 'final_psnr': 27.633817672729492, 'final_psnr_avg': 29.990406036376953, 'consume_time': 260.9987542629242}"
5,"{'net_indi': 'scale_5', 'max_psnr': 30.072616577148438, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.32654571533203, 'max_step': 582, 'max_psnr_avg': 30.23151206970215, 'max_avg_step': 701, 'final_ep': 835, 'final_psnr': 27.852523803710938, 'final_psnr_avg': 30.10057258605957, 'consume_time': 216.96735525131226}"
6,"{'net_indi': 'scale_6', 'max_psnr': 30.19588851928711, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.383779525756836, 'max_step': 936, 'max_psnr_avg': 30.281635284423828, 'max_avg_step': 1042, 'final_ep': 1316, 'final_psnr': 28.03291130065918, 'final_psnr_avg': 30.08539581298828, 'consume_time': 342.2858130931854}"
7,"{'net_indi': 'scale_7', 'max_psnr': 29.958955764770508, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.260419845581055, 'max_step': 559, 'max_psnr_avg': 30.11724090576172, 'max_avg_step': 655, 'final_ep': 838, 'final_psnr': 27.800689697265625, 'final_psnr_avg': 29.925535202026367, 'consume_time': 218.6097445487976}"
8,"{'net_indi': 'scale_8', 'max_psnr': 30.337648391723633, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.487262725830078, 'max_step': 1376, 'max_psnr_avg': 30.40311050415039, 'max_avg_step': 1485, 'final_ep': 1699, 'final_psnr': 28.199464797973633, 'final_psnr_avg': 29.982358932495117, 'consume_time': 443.60477685928345}"
9,"{'net_indi': 'scale_9', 'max_psnr': 30.057498931884766, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.253490447998047, 'max_step': 828, 'max_psnr_avg': 29.995145797729492, 'max_avg_step': 985, 'final_ep': 1113, 'final_psnr': 28.469331741333008, 'final_psnr_avg': 30.11121368408203, 'consume_time': 288.0699453353882}"
