,0
0,"{'net_indi': 'connect_type_0', 'max_psnr': 30.11715316772461, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.37450408935547, 'max_step': 513, 'max_psnr_avg': 30.15341567993164, 'max_avg_step': 675, 'final_ep': 880, 'final_psnr': 28.159034729003906, 'final_psnr_avg': 29.995935440063477, 'consume_time': 204.13667631149292}"
1,"{'net_indi': 'connect_type_1', 'max_psnr': 30.263282775878906, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.337238311767578, 'max_step': 954, 'max_psnr_avg': 30.266016006469727, 'max_avg_step': 1052, 'final_ep': 1436, 'final_psnr': 27.736589431762695, 'final_psnr_avg': 29.70941734313965, 'consume_time': 390.49832105636597}"
2,"{'net_indi': 'connect_type_2', 'max_psnr': 30.1606388092041, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.382572174072266, 'max_step': 575, 'max_psnr_avg': 30.310077667236328, 'max_avg_step': 653, 'final_ep': 818, 'final_psnr': 28.530616760253906, 'final_psnr_avg': 30.060089111328125, 'consume_time': 221.37746930122375}"
3,"{'net_indi': 'connect_type_3', 'max_psnr': 29.991228103637695, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.229318618774414, 'max_step': 651, 'max_psnr_avg': 30.042068481445312, 'max_avg_step': 805, 'final_ep': 1022, 'final_psnr': 28.397945404052734, 'final_psnr_avg': 29.812339782714844, 'consume_time': 323.12060475349426}"
4,"{'net_indi': 'connect_type_4', 'max_psnr': 30.17978858947754, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.35417938232422, 'max_step': 716, 'max_psnr_avg': 30.084096908569336, 'max_avg_step': 905, 'final_ep': 1096, 'final_psnr': 28.256553649902344, 'final_psnr_avg': 29.93668556213379, 'consume_time': 345.2518103122711}"
5,"{'net_indi': 'connect_type_5', 'max_psnr': 30.114896774291992, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.30819320678711, 'max_step': 672, 'max_psnr_avg': 30.13187026977539, 'max_avg_step': 819, 'final_ep': 1050, 'final_psnr': 27.68744468688965, 'final_psnr_avg': 29.86772918701172, 'consume_time': 328.69468927383423}"
6,"{'net_indi': 'connect_type_6', 'max_psnr': 29.724531173706055, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.153564453125, 'max_step': 608, 'max_psnr_avg': 29.79254913330078, 'max_avg_step': 1021, 'final_ep': 1192, 'final_psnr': 28.174087524414062, 'final_psnr_avg': 29.706356048583984, 'consume_time': 370.74688363075256}"
7,"{'net_indi': 'connect_type_7', 'max_psnr': 30.242210388183594, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.351970672607422, 'max_step': 1231, 'max_psnr_avg': 30.306188583374023, 'max_avg_step': 1358, 'final_ep': 1647, 'final_psnr': 27.971010208129883, 'final_psnr_avg': 29.788509368896484, 'consume_time': 517.3298416137695}"
